ticker,month,month_end_date,split_adjusted_close,source
AAPL,2017-01,2017-01-31,30.33750000,dtwParallel@3250811
AMZN,2017-01,2017-01-31,41.17400000,dtwParallel@3250811
GOOGL,2017-01,2017-01-31,41.00950000,dtwParallel@3250811
META,2017-01,2017-01-31,130.32000000,dtwParallel@3250811
MSFT,2017-01,2017-01-31,64.65000000,dtwParallel@3250811
NVDA,2017-01,2017-01-31,2.72950000,dtwParallel@3250811
QQQ,2017-01,2017-01-31,124.56999969,CQF-Jan25-Exam3@19e6aa3
SPY,2017-01,2017-01-31,227.53000000,BlackSwanImpactPredictor@1f0effd
TSLA,2017-01,2017-01-31,3.35906667,dtwParallel@3250811
AAPL,2017-02,2017-02-28,34.24750000,dtwParallel@3250811
AMZN,2017-02,2017-02-28,42.25200000,dtwParallel@3250811
GOOGL,2017-02,2017-02-28,42.24650000,dtwParallel@3250811
META,2017-02,2017-02-28,135.54000000,dtwParallel@3250811
MSFT,2017-02,2017-02-28,63.98000000,dtwParallel@3250811
NVDA,2017-02,2017-02-28,2.53700000,dtwParallel@3250811
QQQ,2017-02,2017-02-28,130.02000427,CQF-Jan25-Exam3@19e6aa3
SPY,2017-02,2017-02-28,236.47000000,BlackSwanImpactPredictor@1f0effd
TSLA,2017-02,2017-02-28,3.33320000,dtwParallel@3250811
AAPL,2017-03,2017-03-31,35.91500000,dtwParallel@3250811
AMZN,2017-03,2017-03-31,44.32700000,dtwParallel@3250811
GOOGL,2017-03,2017-03-31,42.39000000,dtwParallel@3250811
META,2017-03,2017-03-31,142.05000000,dtwParallel@3250811
MSFT,2017-03,2017-03-31,65.86000000,dtwParallel@3250811
NVDA,2017-03,2017-03-31,2.72325000,dtwParallel@3250811
QQQ,2017-03,2017-03-31,132.38000488,CQF-Jan25-Exam3@19e6aa3
SPY,2017-03,2017-03-31,235.74000000,BlackSwanImpactPredictor@1f0effd
TSLA,2017-03,2017-03-31,3.71066667,dtwParallel@3250811
AAPL,2017-04,2017-04-28,35.91250000,dtwParallel@3250811
AMZN,2017-04,2017-04-28,46.24950000,dtwParallel@3250811
GOOGL,2017-04,2017-04-28,46.22600000,dtwParallel@3250811
META,2017-04,2017-04-28,150.25000000,dtwParallel@3250811
MSFT,2017-04,2017-04-28,68.46000000,dtwParallel@3250811
NVDA,2017-04,2017-04-28,2.60750000,dtwParallel@3250811
QQQ,2017-04,2017-04-28,135.99000549,CQF-Jan25-Exam3@19e6aa3
SPY,2017-04,2017-04-28,238.08000000,BlackSwanImpactPredictor@1f0effd
TSLA,2017-04,2017-04-28,4.18760000,dtwParallel@3250811
AAPL,2017-05,2017-05-31,38.19000000,dtwParallel@3250811
AMZN,2017-05,2017-05-31,49.73100000,dtwParallel@3250811
GOOGL,2017-05,2017-05-31,49.35450000,dtwParallel@3250811
META,2017-05,2017-05-31,151.46000000,dtwParallel@3250811
